=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
R10-13  StormStaff+Burn+WD vs Chain stacked                  0      58      0     0     100    100   17.4      0
R10-13  Ember+Dagger+WD vs Chain stacked                     0      58      0     0     100    100   13.5      0
R10-13  WD heal+Burn vs WD+BoneEater (no stack)              0      54      0     0     100    100   19.6      0
R10-13  Unique-mix vs WD+BoneEater (no stack)                4      38     11     0     100    100   15.9      0
R10-13  WD heal+Bite vs Unique-mix+Burn                      0      46      0     0     114    100   13.9      0
R10-13  FireStaff-2H+Burn vs WD+collar+Bone                  0      42      0     0     105    100   11.0      0

X       R1 axe vs R5 sword-leather                           0      38      0     0     100    118    4.7      0
X       R1 club vs R5 mace-leather                           0      38      0     0     100    118    6.5      0
X       R3 Fester-cloth vs R8 chain-plain                    0      42      0     0     100    107    9.6      0
X       R5 sword-leather vs R8 chain-burn                    0      25      0     0     100    101   13.5      0
X       R5 leather vs R12 chain stacked                      0      33      0     0     100    115   16.6      0
X       R6 dual-iron vs R12 WD-heal-burn                     0      54      0     0     100    115   15.4      0
X       R8 chain-plain vs R12 unique-mix                     0      46      0     0     100    118   10.7      0
X       R8 WD-bone vs R12 WD-heal-burn                       0      42      0     0     100    117    7.0      0

KIT     R1 axe Early vs axe bare                            13      42     10    14      68    100   11.6      0
KIT     R1 axe Early vs same                                 8      42     10     7      78     98   16.2      0
KIT     R5 leather Mid vs leather bare                       0      25      0     0      90    100    3.4      0
KIT     R5 leather Burst vs Sustain                         17      50     17    17     100    100   11.4      0
KIT     R8 chain Late vs chain bare                          0      50      0     0      89    100    7.1      0
KIT     R8 chain Burst vs Sustain                            4      46      0     8     107    100    5.9      0
KIT     R12 stacked Full vs Late                             0      50      0     0     109    100   13.4      0
KIT     R12 WD-heal Full vs stacked Mid                      0      63      0     0      98    100   12.1      0

FOOD    R1 meat vs fish (axe+cloth)                          8      63     13     0      79     90   11.7      0
FOOD    R4 stew vs dried+corn (leather)                      0      38      0     0     101    100    7.2      0
FOOD    R5 stew+meat vs honey (leather)                      0      38      0     0     100    100    5.1      0
FOOD    R8 honey vs stew (chain)                             0      38      0     0     100    107    5.7      0
FOOD    R8 honey+stew vs walnut (WD)                         0      54      0     0      99    100    6.3      0
FOOD    R12 walnut vs honey (stacked)                        0      42      0     0     100    100   12.5      0

MED     R1 MedKit+suture vs Jar only                         0      50      0     0      94    100   14.5      0
MED     R4 Mist+Balmy vs Acid flask                          0      33      0     0     100    100   10.0      0
MED     R5 Jar+Heal vs Acid+Puss                             4      38     11     0     100    113    4.5      0
MED     R8 Mix+Cauterize vs BoneCleanse                      0      58      0     0      96    100    6.3      0
MED     R12 Serum vs Fester heal                             4      29     14     0     100    114   12.0      0
MED     R12 Balmy vs FireStaff-2H Burn                       0      50      0     0     100    107   16.7      0

INC     R1 Mullin vs Shade (axe)                             0      46      0     0      85    100   11.9      0
INC     R5 Shade vs no incense (leather)                     0      42      0     0     100    100   22.4      0
INC     R5 Dipped vs Mullin (leather)                        0      58      0     0      94    100   11.0      0
INC     R8 Dipped vs Shade+Mullin (chain)                    0      75      0     0      87    100   19.1      0
INC     R8 Shade vs Dipped (WD-bone)                         0      58      0     0      90    100   16.5      0
INC     R12 full smoke vs Mullin (stacked)                   0      67      0     0     100    100   17.9      0

--- Band medians ---
  R1-3: median-of-medians 24.3s   range 9.9-28.5s
  R4-6: median-of-medians 25.7s   range 20.3-32.4s
  METAL: median-of-medians 27.7s   range 25.0-29.4s
  MAGIC: median-of-medians 26.6s   range 22.7-32.6s
  STEEL: median-of-medians 22.6s   range 20.2-25.6s
  R7-9: median-of-medians 14.8s   range 11.4-17.2s
  R10-13: median-of-medians 28.8s   range 19.8-36.6s
  X: median-of-medians 17.4s   range 9.8-22.2s
  KIT: median-of-medians 17.4s   range 9.4-28.2s
  FOOD: median-of-medians 13.3s   range 10.0-25.0s
  MED: median-of-medians 19.4s   range 10.8-27.5s
  INC: median-of-medians 27.3s   range 21.7-39.6s

--- Sever dump check ---
  Fights: 2928   with sever: 1380 (47%)   bleed deaths: 28 (1%)
  bleed|sever     1   bleed|no-sever     1
  Instant bleed-out within 1s of first sever: 0.0% (0/2928)
  Median-of-medians loser blood on bleed deaths: 0%
  Verdict: severs raise or hold bleed deaths (dump + stump hemorrhage matter); dump is not a one-shot (instant bleed-out after sever is rare); bleed-death loser blood is low (pool is actually spent)
